1,1,0.015
1,2,0.001
1,3,0.001
2,1,0.028
2,2,0.014
2,3,0.014
3,1,0.037
3,2,0.030
3,3,0.029
4,1,0.035
4,2,0.033
4,3,0.036
5,1,0.355
5,2,0.310
5,3,0.311
6,1,0.603
6,2,0.577
6,3,0.584
7,1,0.024
1,1,0.008
1,2,0.001
1,3,0.001
2,1,0.015
2,2,0.013
2,3,0.014
3,1,0.029
3,2,0.028
3,3,0.028
4,1,0.053
4,2,0.034
4,3,0.031
5,1,0.334
5,2,0.299
5,3,0.295
6,1,0.592
6,2,0.584
6,3,0.590
7,1,0.023
7,2,0.021
7,3,0.021
8,1,0.022
8,2,0.015
8,3,0.015
9,1,0.385
9,2,0.378
9,3,0.395
10,1,0.509
10,2,0.516
10,3,0.513
11,1,0.136
11,2,0.140
11,3,0.137
12,1,0.173
12,2,0.160
12,3,0.164
13,1,0.511
13,2,0.493
13,3,0.479
14,1,0.870
14,2,0.709
14,3,0.711
15,1,0.586
15,2,0.543
15,3,0.545
16,1,0.593
16,2,0.411
16,3,0.391
17,1,7.714
17,2,1.662
17,3,1.742
18,1,1.258
18,2,1.539
18,3,1.558
19,1,48.065
19,2,21.742
19,3,39.883
20,1,0.194
20,2,0.034
20,3,0.038
21,1,1.413
21,2,0.898
21,3,0.827
22,1,0.877
22,2,0.826
22,3,0.792
23,1,1.654
23,2,1.714
23,3,1.624
24,1,3.366
24,2,3.222
24,3,3.160
25,1,0.254
25,2,0.188
25,3,0.190
26,1,0.148
26,2,0.149
26,3,0.148
27,1,0.186
27,2,0.185
27,3,0.186
28,1,0.877
28,2,0.733
28,3,0.724
29,1,7.642
29,2,7.859
29,3,7.647
30,1,0.577
30,2,0.585
30,3,0.569
31,1,0.477
31,2,0.363
31,3,0.363
32,1,0.761
32,2,0.606
32,3,0.525
33,1,60.789
33,2,179.836
33,3,170.508
34,1,9.636
34,2,16.125
34,3,17.562
35,1,14.725
35,2,15.719
35,3,12.832
36,1,0.814
36,2,0.599
36,3,0.577
37,1,0.070
37,2,0.059
37,3,0.058
38,1,0.032
38,2,0.029
38,3,0.030
39,1,0.027
39,2,0.026
39,3,0.024
40,1,0.129
40,2,0.120
40,3,0.130
41,1,0.015
41,2,0.011
41,3,0.011
42,1,0.008
42,2,0.008
42,3,0.008
43,1,0.012
43,2,0.009
43,3,0.008
